"year","code","eca","lac","ssa","lmc","umc","hic","inc","gdp2021","gdp2017","rps","leb","u5m"
1981,"LTU",1,0,0,0,1,0,0,NA,NA,38.054,70.687,20.933
1981,"LUX",1,0,0,0,0,1,1,53983.5054854681,46132.2153378605,19.556,72.077,16.813
1981,"LVA",1,0,0,0,1,0,0,NA,NA,32.56,69.079,20.378
1981,"MAC",0,0,0,0,1,0,0,NA,NA,1.345,73.367,21.603
1981,"MAF",0,1,0,0,0,1,1,NA,NA,0,72.384,27.693
1981,"MAR",0,0,0,1,0,0,0,3602.07304875831,3459.31727348383,58.08,56.023,127.491
1981,"MCO",1,0,0,0,0,1,1,NA,NA,0,74.953,18.929
1981,"MDA",1,0,0,1,0,0,0,NA,NA,58.864,65.595,47.459
1981,"MDG",0,0,1,0,0,0,0,2507.18361033485,2322.72144811618,81.012,49.806,173.339
1981,"MDV",0,0,0,0,0,0,0,5201.86655772396,5132.0746668824,77.095,55.729,142.519
1981,"MEX",0,1,0,1,0,0,0,18286.8010660177,17000.7852810772,33.13,64.722,68.292
1981,"MHL",0,0,0,1,0,0,0,3115.89458220059,2818.27955888365,41.174,61.139,62.287
1981,"MKD",1,0,0,0,1,0,0,NA,NA,45.993,69.433,53.121
1981,"MLI",0,0,1,0,0,0,0,1466.0273082528,1356.96921690326,81.03,40.984,295.463
1981,"MLT",0,0,0,0,1,0,0,14745.7278931189,12755.7763684726,10.206,72.367,16.388
1981,"MMR",0,0,0,0,0,0,0,818.179416336784,655.118821279947,76.018,54.699,137.469
1981,"MNE",1,0,0,0,1,0,0,NA,NA,62.108,72.126,25.868
1981,"MNG",0,0,0,1,0,0,0,4806.3240090498,3703.15682400919,47.324,55.405,147.492
1981,"MNP",0,0,0,1,0,0,0,NA,NA,12.883,68.479,15.706
1981,"MOZ",0,0,1,0,0,0,0,633.963142742181,530.817279518742,85.949,41.643,284.906
1981,"MRT",0,0,1,0,0,0,0,5941.82041925241,5256.80797115631,71.19,53.684,160.823
1981,"MUS",0,0,1,1,0,0,0,5819.21212223645,5462.05613529825,57.866,67.216,39.071
1981,"MWI",0,0,1,0,0,0,0,1304.1075555305,1115.87445591038,90.737,44.72,254.737
1981,"MYS",0,0,0,1,0,0,0,9772.59684971942,8735.54850192708,57.193,68.461,28.34
1981,"NAM",0,0,1,1,0,0,0,8674.60086434245,7518.27487243812,74.645,56.912,103.076
1981,"NCL",0,0,0,0,1,0,0,NA,NA,42.188,65.987,48.077
1981,"NER",0,0,1,0,0,0,0,1832.25527687794,1456.33546324902,86.344,39.637,331.082
1981,"NGA",0,0,1,0,0,0,0,5533.49871319208,4892.3586562961,77.329,46.309,212.349
1981,"NIC",0,1,0,1,0,0,0,6042.21834850289,5089.14995279401,49.43,58.278,123.202
1981,"NLD",1,0,0,0,0,1,1,37275.7780954857,31466.0880799619,34.896,75.991,10.389
1981,"NOR",1,0,0,0,0,1,1,46719.3679517695,34520.3620000732,29.213,75.882,9.365
1981,"NPL",0,0,0,0,0,0,0,1453.40633512367,1286.71068994679,93.624,48.662,201.38
1981,"NRU",0,0,0,0,0,1,1,48488.6743360087,43868.6962059754,0,58.555,64.365
1981,"NZL",0,0,0,0,0,1,1,26997.1728170972,24555.3325312136,16.489,73.632,14.59
1981,"OMN",0,0,0,0,1,0,0,24923.963233799,21656.9447468248,50.529,60.802,99.368
1981,"PAK",0,0,0,0,0,0,0,2514.51645939928,2393.56515034876,71.62,57.764,162.767
1981,"PAN",0,1,0,0,1,0,0,13342.9995429937,13991.1761966981,49.214,69.79,41.853
1981,"PER",0,1,0,1,0,0,0,8235.99988406635,6881.87156856599,34.818,60.325,121.668
1981,"PHL",0,0,0,1,0,0,0,4960.13020744781,4491.89676202582,61.606,61.942,78.951
1981,"PLW",0,0,0,0,1,0,0,15727.6918704249,14229.1647716277,36.591,62.142,44.838
1981,"PNG",0,0,0,1,0,0,0,3282.49206032303,2969.34673571415,86.758,57.76,102.822
1981,"POL",1,0,0,1,0,0,0,NA,NA,41.541,70.609,27.773
1981,"PRI",0,1,0,0,1,0,0,21315.9992617091,16375.8188693986,28.228,72.981,26.805
1981,"PRK",0,0,0,1,0,0,0,NA,NA,42.951,67.657,40.661
1981,"PRT",1,0,0,0,1,0,0,20758.6910242988,17943.4615720494,56.779,71.89,26.122
1981,"PRY",0,1,0,1,0,0,0,8916.41944559798,8134.79751170699,57.765,64.811,62.38
1981,"PSE",0,0,0,1,0,0,0,NA,NA,37.064,62.836,74.344
1981,"PYF",0,0,0,0,0,1,1,NA,NA,41.052,68.157,43.777
1981,"QAT",0,0,0,0,0,1,1,98574.8350484555,85119.1593061919,10.486,70.313,34.462
1981,"ROU",1,0,0,0,1,0,0,NA,NA,53.219,69.506,35.256
1981,"RUS",1,0,0,0,1,0,0,NA,NA,29.807,67.616,27.18
1981,"RWA",0,0,1,0,0,0,0,1323.30628028954,1107.41396475842,95.214,49.216,202.096
1981,"SAU",0,0,0,0,0,1,1,152206.99976082,139540.03502363,32.719,63.252,86.711
1981,"SDN",0,0,1,0,0,0,0,2260.88060329291,2367.44014359044,79.834,54.369,146.037
1981,"SEN",0,0,1,1,0,0,0,2886.49256744207,2411.48848976214,63.878,49.083,199.916
1981,"SGP",0,0,0,0,0,1,1,28860.3364759257,23724.2734536707,0,71.748,13.724
1981,"SLB",0,0,0,0,0,0,0,2854.30910655958,2581.9308370768,89.073,64.077,50.778
1981,"SLE",0,0,1,0,0,0,0,3155.60717726715,2864.25179866329,69.752,43.086,284.898
1981,"SLV",0,1,0,1,0,0,0,7219.24717070501,6430.54727166973,55.388,50.889,131.093
1981,"SMR",1,0,0,0,0,1,1,NA,NA,17.136,76.584,12.084
1981,"SOM",0,0,1,0,0,0,0,761.248082044351,706.083694174029,72.979,47.817,198.579
1981,"SRB",1,0,0,0,1,0,0,NA,NA,53.297,71.111,24.837
1981,"SSD",0,0,1,1,0,0,0,NA,NA,91.492,38.313,288.245
1981,"STP",0,0,1,0,0,0,0,5557.1398459588,3458.67649120669,66.143,59.432,121.942
1981,"SUR",0,1,0,0,1,0,0,17794.3258189751,14163.9208169322,34.965,60.795,59.105
1981,"SVK",1,0,0,0,1,0,0,NA,NA,47.69,70.623,21.682
1981,"SVN",1,0,0,0,1,0,0,NA,NA,51.059,71.647,16.083
1981,"SWE",1,0,0,0,0,1,1,31789.650251898,27155.3058233022,16.9,76.04,7.868
1981,"SWZ",0,0,1,1,0,0,0,3872.51569462477,3429.11335703169,83.176,58.788,107.508
1981,"SXM",0,1,0,0,0,1,1,NA,NA,0,71.864,27.522
1981,"SYC",0,0,1,0,1,0,0,12810.4743503183,12437.0474853159,50.648,68.731,27.779
1981,"SYR",0,0,0,1,0,0,0,7256.42544757574,4759.68848371231,52.962,64.598,63.476
1981,"TCA",0,1,0,0,0,1,1,NA,NA,42.642,67.439,33.196
1981,"TCD",0,0,1,0,0,0,0,1266.15534646939,1063.61629878885,81.018,43.497,239.355
1981,"TGO",0,0,1,0,0,0,0,2603.26332135017,2163.41007527386,74.98,52.781,175.889
1981,"THA",0,0,0,1,0,0,0,5396.68159547379,4719.54417018934,72.951,62.856,58.303
1981,"TJK",1,0,0,1,0,0,0,NA,NA,65.922,58.758,129.5
1981,"TKM",1,0,0,1,0,0,0,NA,NA,53.142,60.983,107.111
1981,"TLS",0,0,0,0,0,0,0,NA,NA,83.117,31.247,292.165
1981,"TON",0,0,0,1,0,0,0,3464.54955815213,3136.2185981448,78.627,66.357,29.08
1981,"TTO",0,1,0,0,1,0,0,16997.7239391286,14186.1818422879,47.532,66.459,38.136
1981,"TUN",0,0,0,1,0,0,0,6312.39730105375,5501.14880338141,48.836,64.374,89.739
1981,"TUR",1,0,0,1,0,0,0,9537.93685100826,9563.45236291852,54.811,63.194,121.166
1981,"TUV",0,0,0,1,0,0,0,1945.39854540969,1759.91338477801,69.325,60.489,63.014
1981,"TWN",0,0,0,0,0,1,1,NA,NA,79.882,72.018,14.243
1981,"TZA",0,0,1,0,0,0,0,1723.96849508889,1284.12678737972,85.024,51.703,179.174
1981,"UGA",0,0,1,0,0,0,0,NA,NA,92.166,43.456,227.574
